,tweet,processed,topic
690,pour sauver des vies ils prennent tous les risques ce soir en savoie 3 membres du secours aerien francais et 2 crs alpes ont succombe a un crash d helicoptere une personne blessee se bat pour vivre soutien de la nation aux familles amis et collegues de ces heros francais,sauver vies prennent tous risques soir savoie 3 membres secours aerien francais 2 cr alpes succombe a crash helicoptere personne blessee bat vivre soutien nation familles amis collegues hero francais,
691,je comprends l impatience de celles et ceux qui engages pour la planete ont le sentiment que nous n allons pas suffisamment vite pas suffisamment loin c est a elles c est a eux que je veux m adresser apres ce oneplanetsummit,comprends impatience celles ceux engages planete sentiment allons suffisamment vite suffisamment loin a elles a veux adresser apres oneplanetsummit,health
692,je souhaite gagner le peuple merite autre chose que la politique de saccage social d emmanuel macron il merite mieux que de perdre le controle sur l ensemble des politiques menees il merite mieux que de voir s effondrer son pouvoir d achat dimpol,souhaite gagner peuple merite autre chose politique saccage social emmanuel macron merite mieux perdre controle ensemble politiques menees merite mieux voir effondrer pouvoir achat dimpol,economy
693,les cyberattaques de dax et de villefranche sur saone confirment l importance de prendre l enjeu de la cybersecurite tres au serieux nous en avons fait une priorite,cyberattaques dax villefranche saone confirment importance prendre enjeu cybersecurite tres serieux fait priorite,economy
694,il y a eu le temps de l indignation puis celui des engagements pour plus tard et pour d autres et il y a depuis 2017 le temps de l action resolue et concrete avec des resultats,a temp indignation puis celui engagement plus tard autres a depuis 2017 temp action resolue concrete resultats,health
695,je propose de mettre la retraite minimum a 1000 euros par mois et de reindexer les retraites sur l inflation ces mesures permettront de rendre du pouvoir d achat aux francais qui ont travaille toute leur vie lafrancedanslesyeux marinepresidente,propose mettre retraite minimum a 1000 euro mois reindexer retraites inflation mesures permettront rendre pouvoir achat francais travaille toute vie lafrancedanslesyeux marinepresidente,economy
696,la qualite de notre enseignement superieur et de notre recherche est enfin reconnue internationalement a son vrai niveau,qualite enseignement superieur recherche enfin reconnue internationalement a vrai niveau,education
697,je rendrai aux francais en situation de handicap le droit de vivre leur amour a cause du refus d emmanuel macron de deconjugaliser l aah de nombreux francais handicapes ne se marient pas je mettrai fin a cette injustice,rendrai francais situation handicap droit vivre amour a cause refus emmanuel macron deconjugaliser aah nombreux francais handicapes marient mettrai fin a cette injustice,environment
698,a partir de 18h30 suivez en direct le discours que je tiendrai lors d une grande reunion publique a arras dans le pasdecalais marinepresidente sur youtube sur facebook,a partir 18h30 suivez direct discours tiendrai lors grande reunion publique a arras pasdecalais marinepresidente youtube facebook,economy
699,jamais la france ne laissera mourir des centaines de milliers de ses concitoyens ce ne sont pas nos valeurs,jamais france laissera mourir centaines milliers concitoyens valeurs,economy
700,avec moi les francaises et les francais vous regarderont defiler sur les champs elysees vous serez les visages de tous les jeunes qui s engagent a travers le pays pour servir et nous proteger vous ferez honneur a notre drapeau a demain,francaises francais regarderont defiler champ elysees visage tous jeunes engagent a travers pay servir proteger ferez honneur a drapeau a demain,education
701,ici a montbrison l ancienne usine de jouets gege se transforme 67 logements vont y etre construits le recyclage de cette friche c est le parfait exemple que construction de nouveaux logements et place laissee a la nature sont compatibles,ici a montbrison ancienne usine jouets gege transforme 67 logements vont etre construits recyclage cette friche parfait exemple construction nouveaux logements place laissee a nature compatibles,environment
702,nous avons une nouvelle arme contre le virus le vaccin tenir ensemble encore,nouvelle arme contre virus vaccin tenir ensemble encore,health
703,rt off lors de son deplacement dans le nord marine le pen a pu rencontrer de nombreux francais qui ont temoigne de leurs diffi,rt off lors deplacement nord marine pen a pu rencontrer nombreux francais temoigne leurs diffi,education
704,je veux redire l emotion de la nation a l egard de ces femmes et ces hommes qui ont perdu la vie en mer pour fuir la misere l oppression politique l absence de libertes tout sera mis en oeuvre pour retrouver et condamner les responsables qui exploitent la misere et la detresse,veux redire emotion nation a egard femmes hommes perdu vie mer fuir misere oppression politique absence libertes tout mi oeuvre retrouver condamner responsables exploitent misere detresse,education
705,francais c est vous qui avez le pouvoir entre vos mains vous peuple de france vous etes souverain on peut faire des choix differents dans notre pays pour peu que vous le decidiez facealaguerretf1,francais pouvoir entre main peuple france etes souverain peut faire choix differents pay peu decidiez facealaguerretf1,economy
706,rt off en 2021 sous le mandat d emmanuel macron la dette publique a atteint 115 3 du pib pour mettre fin a cette spiral,rt off 2021 sou mandat emmanuel macron dette publique a atteint 115 3 pib mettre fin a cette spiral,economy
707,si l allemagne attaque la filiere nucleaire francaise c est parce qu elle tente de renverser l avantage concurrentiel qu elle nous procure pour le bien de nos entreprises nous devons investir massivement dans le nucleaire debatcpme2022 marinepresidente,si allemagne attaque filiere nucleaire francaise parce tente renverser avantage concurrentiel procure bien entreprises devon investir massivement nucleaire debatcpme2022 marinepresidente,economy
708,je vais baisser la tva de 20 a 5 5 sur le gaz le fioul l electricite et le carburant je supprimerai les hausses de taxes sur les carburants decidees par e macron et je supprimerai la tva sur un panier de cent produits alimentaires et d hygiene,vais baisser tva 20 a 5 5 gaz fioul electricite carburant supprimerai hausses tax carburants decidees e macron supprimerai tva panier cent produits alimentaires hygiene,economy
709,a tous les entrepreneurs nous comptons sur vous,a tous entrepreneur compton,economy
710,5 ans apres l election de macron la desindustrialisation n a jamais ete aussi importante la dette a augmente de 600 milliards l immigration n est pas reglee l insecurite explose il a contribue a creer des crises sociales lourdes qui ont divise les francais,5 an apres election macron desindustrialisation a jamais ete aussi importante dette a augmente 600 milliard immigration reglee insecurite explose a contribue a creer crisis sociales lourdes divise francais,health
711,je veux fonder mon projet sur le sauvetage de l etat qu emmanuel macron est en train d affaiblir de facon inquietante il autorise partout une forme de privatisation rampante dont l affaire mckinsey est une demonstration flagrante le79inter elysee2022,veux fonder projet sauvetage etat emmanuel macron train affaiblir facon inquietante autorise partout forme privatisation rampante dont affaire mckinsey demonstration flagrante le79inter elysee2022,economy
712,je veux sortir du commandement integre de l otan je veux que l on retrouve une diplomatie independante equidistante et constante a l image de ce qu avait voulu le general de gaulle lafrancedanslesyeux,veux sortir commandement integre otan veux retrouve diplomatie independante equidistante constante a image voulu general gaulle lafrancedanslesyeux,education
713,je conteste le droit a quelque instance internationale que ce soit d interdire au peuple francais de se choisir une constitution et dans celle ci de determiner quelles sont les regles en matiere d immigration dimanchejevotemarine,conteste droit a quelque instance internationale interdire peuple francais choisir constitution celle ci determiner quelles regles matiere immigration dimanchejevotemarine,economy
714,je vais regler le probleme de l insecurite et de l immigration l insecurite est hors de controle dans notre pays j aurai une politique de maitrise de l immigration et de grande fermete,vais regler probleme insecurite immigration insecurite hors controle pay politique maitrise immigration grande fermete,immigration
715,emmanuel macron a ferme fessenheim et aujourd hui il explique qu il va faire un grand plan pour le nucleaire il veut multiplier l eolien en mer et sur terre pour faire plaisir aux verts moi je m y oppose,emmanuel macron a ferme fessenheim aujourd hui explique va faire grand plan nucleaire veut multiplier eolien mer terre faire plaisir verts oppose,environment
716,mon obsession c est le bien etre des francais on peut miser sur des sanctions economiques contre la russie sans que les victimes premieres de ces sanctions soient la france ggrmc,obsession bien etre francais peut miser sanction economiques contre russie sans victimes premiere sanction france ggrmc,economy
717,au levant 800 de nos soldats marins et aviateurs appuient les forces de la coalition contre daech et conseillent les forces irakiennes comme tous les francais je sais ce que nous leur devons ainsi qu a leurs familles j ai dit a ceux rencontres aujourd hui notre fierte,levant 800 soldats marins aviateurs appuient force coalition contre daech conseillent force irakiennes comme tous francais sais devon ainsi a leurs familles dit a ceux rencontres aujourd hui fierte,education
718,aux habitants de saint martin rencontres en 2017 et 2018 apres irma j ai promis que leur ile renaitrait que nous reconstruirions sans les erreurs du passe quatre ans apres une nouvelle etape s ouvre pour la vie du territoire avec un plan de prevention du risque cyclonique,habitant saint martin rencontres 2017 2018 apres irma promis ile renaitrait reconstruirions sans erreurs passe quatre an apres nouvelle etape ouvre vie territoire plan prevention risque cyclonique,health
719,j exhorte les electeurs de droite les electeurs lr deconfits par madame pecresse a venir vers nous nous qui avons ete les premiers a soulever de maniere premonitoire la question des flux migratoires marinepresidente,exhorte electeurs droite electeurs lr deconfits madame pecresse a venir vers ete premier a soulever maniere premonitoire question flux migratoires marinepresidente,economy
720,le harcelement scolaire est un sujet qui m inquiete enormement il faut confier aux administrations des etablissements scolaires une responsabilite importante sur ce sujet des sanctions doivent enfin etre appliquees contre les harceleurs lafrancedanslesyeux,harcelement scolaire sujet inquiete enormement faut confier administration etablissements scolaires responsabilite importante sujet sanction doivent enfin etre appliquees contre harceleurs lafrancedanslesyeux,economy
721,nous avons une responsabilite celle de nous fixer des objectifs clairs et de prendre des engagements concrets pour relever les defis de notre temps ce g7 doit etre celui de l action heureux de vous retrouver chers partenaires et amis au travail ensemble,responsabilite celle fixer objectifs clairs prendre engagement concrets relever defis temp g7 doit etre celui action heureux retrouver chers partenaires amis travail ensemble,economy
722,pour que vive la francophonie nous soutenons les systemes educatifs et la formation nous encourageons l usage du francais dans la vie economique et diplomatique ainsi que sur internet et dans les medias et nous soutenons la creation dans le monde francophone,vive francophonie soutenons systemes educatifs formation encourageons usage francais vie economique diplomatique ainsi internet medias soutenons creation monde francophone,
723,elue presidente j appliquerai la priorite nationale pour l acces a l emploi et au logement les francais doivent etre prioritaires dans leur propre pays dimanchejevotemarine,elue presidente appliquerai priorite nationale acces a emploi logement francais doivent etre prioritaires propre pay dimanchejevotemarine,economy
724,il y a eu des sourires et des larmes des performances et parfois des frustrations c est au fond la beaute du sport bravo a nos athletes pour ces tres beaux jeux olympiques tokyo2020 le prochain rendez vous est fixe enfin,a sourires larmes performance parfois frustration fond beaute sport bravo a athlete tres beau jeux olympiques tokyo2020 prochain rendez fixe enfin,education
725,la france malgre les epreuves est plus forte aujourd hui qu il y a deux ans tout cela c est grace a vous grace a nous tous grace a notre esprit de resistance notre solidarite notre civisme notre engagement et notre esprit d entreprendre,france malgre epreuves plus forte aujourd hui a deux an tout cela grace a grace a tous grace a esprit resistance solidarite civisme engagement esprit entreprendre,education
726,je presente mes condoleances au peuple israelien frappe par une nouvelle serie d attaques meurtrieres partout le terrorisme islamiste doit etre combattu,presente condoleances peuple israelien frappe nouvelle serie attaques meurtrieres partout terrorisme islamiste doit etre combattu,economy
727,le traite du quirinal est le fruit d un destin commun entre l italie et la france celui de deux nations soeurs unies par la geographie par l histoire par la culture en le signant aujourd hui nous scellons la profonde amitie qui nous unit,traite quirinal fruit destin commun entre italie france celui deux nation soeurs unies geographie histoire culture signant aujourd hui scellons profonde amitie unit,education
728,le tabac c est 70 000 nouveaux cas de cancer chaque annee alors oui nous actionnerons tous les leviers de dissuasion possibles prix extension des espaces sans tabac campagnes d information meilleur accompagnement de ceux qui arretent de fumer,tabac 70 000 nouveaux ca cancer chaque annee alors oui actionnerons tous leviers dissuasion possible prix extension espaces sans tabac campagnes information meilleur accompagnement ceux arretent fumer,health
729,je m y etais engage a guise en novembre dernier j ai recu aujourd hui une delegation de pecheurs francais nous ne lacherons rien sur le sujet,etais engage a guise novembre dernier recu aujourd hui delegation pecheurs francais lacherons rien sujet,environment
730,je le dis et je le repete le choix entre entre emmanuel macron et nous c est le choix entre le pouvoir de l argent qui profite a quelques uns et le pouvoir d achat qui profite a tout le monde marinepresidente,dis repete choix entre entre emmanuel macron choix entre pouvoir argent profite a quelques un pouvoir achat profite a tout monde marinepresidente,economy
731,je veux creer un ministere dedie a la lutte contre les fraudes qui aura egalement vocation a proteger non seulement nos agriculteurs mais aussi nos industriels des importations de produits a bas cout ne respectant pas nos normes de production marinepresidente,veux creer ministere dedie a lutte contre fraudes egalement vocation a proteger non seulement agriculteurs aussi industriels importation produits a ba cout respectant normes production marinepresidente,health
732,par coherence et exemplarite nous nous sommes engages a ne plus signer de traites commerciaux avec des pays qui n auraient pas rejoint l accord de paris c est du bon sens,coherence exemplarite engages a plus signer traites commerciaux pay rejoint accord paris bon sen,economy
733,je serai ce soir a 20h l invitee du jt de dimanchejevotemarine,soir a 20h invitee jt dimanchejevotemarine,environment
734,maires de france vous avez fait bien plus que votre devoir,maires france fait bien plus devoir,economy
735,11 novembre 1918 a 11h dans toute la france les cloches et les clairons sonnerent le cessez le feu des millions de soldats sont morts pour la france pour notre liberte pour que vivent nos valeurs n oublions jamais,11 novembre 1918 a 11h toute france cloche clairons sonnerent cessez feu million soldats morts france liberte vivent valeurs oublions jamais,economy
736,rt off alors que la salle est deja bien remplie enormement de monde continue a arriver marinepresidente,rt off alors salle deja bien remplie enormement monde continue a arriver marinepresidente,health
737,plus on a commence a travailler tot plus il faut pouvoir partir a la retraite a un age raisonnable je refuse les propositions d autres candidats qui consistent a allonger au fur et a mesure l age de la retraite 20h22 le20h,plus a commence a travailler tot plus faut pouvoir partir a retraite a age raisonnable refuse proposition autres candidats consistent a allonger fur a mesure age retraite 20h22 le20h,health
738,mon obsession tous les jours c est de trouver les moyens pour que les 5 6 millions de francais au chomage et qui cherchent un emploi en aient un et un qui soit bien paye elysee2022,obsession tous jours trouver moyens 5 6 million francais chomage cherchent emploi bien paye elysee2022,
739,a glasgow nous avons poursuivi la mobilisation autour de la grande muraille verte pour verdir le sahel le premier bilan est encourageant deja 20 millions d hectares restaures et les nouveaux fonds mobilises aussi notamment 1 milliard de la fondation bezos,a glasgow poursuivi mobilisation autour grande muraille verte verdir sahel premier bilan encourageant deja 20 million hectare restaures nouveaux fonds mobilises aussi notamment 1 milliard fondation bezos,environment
740,je veux une europe des cooperations librement consenties une europe des nations libres et souveraines c est vers cela que nous travaillons avec nos allies pour transformer une union europeenne qui est rejetee par les francais,veux europe cooperation librement consenties europe nation libres souveraines vers cela travaillons ally transformer union europeenne rejetee francais,environment
741,avec le chancelier allemand nous avons echange ce matin avec le president chinois sur les consequences dramatiques de la guerre en ukraine pour un cessez le feu et la garantie d un acces des populations a l aide humanitaire le president xi a apporte son soutien a notre action,chancelier allemand echange matin president chinois consequence dramatiques guerre ukraine cessez feu garantie acces population a aide humanitaire president xi a apporte soutien a action,economy
742,dans la ruralite les francais sont tres inquiets de la hausse des prix ce sont eux qui sont directement impactes et face a cette urgence emmanuel macron ne fait rien moi j ai de nombreuses mesures a mettre en place des mon election,ruralite francais tres inquiets hausse prix directement impactes face a cette urgence emmanuel macron fait rien nombreuses mesures a mettre place election,economy
743,au nouveau centre de vaccination porte de versailles a paris ici bientot 2000 injections seront realisees chaque jour les soldats du feu sont prets,nouveau centre vaccination porte versailles a paris ici bientot 2000 injection realisees chaque jour soldats feu prets,health
744,aujourd hui la france fait un choix celui du progres du climat de l emploi du pouvoir d achat celui de son independance,aujourd hui france fait choix celui progres climat emploi pouvoir achat celui independance,environment
745,nous sortirons de cette crise en vaccinant la france en vaccinant le monde car le virus ne connait pas de frontieres pour aider tous les pays dans cette course 1 milliard de doses ont ete livrees avec covax vacciner vacciner vacciner avec solidarite on continue,sortirons cette crise vaccinant france vaccinant monde car virus connait frontieres aider tous pay cette course 1 milliard dos ete livrees covax vacciner vacciner vacciner solidarite continue,health
746,les bleus tout simplement,bleu tout simplement,education
747,je suis pour la liberte des peuples a disposer d eux memes et pour la defense de leur integrite territoriale lafrancefacealaguerre facealaguerretf1 marinepresidente,liberte peuples a disposer meme defense integrite territoriale lafrancefacealaguerre facealaguerretf1 marinepresidente,
748,aujourd hui un journaliste americain a ete tue en ukraine avant lui d autres ont ete pris pour cible assassines blesses enleves nous pensons a tous ces journalistes animes par le courage et un ideal la liberte d informer elle est fondamentale pour nos democraties,aujourd hui journaliste americain a ete tue ukraine avant autres ete pris cible assassines blesses enleves pensons a tous journalistes anime courage ideal liberte informer fondamentale democraties,economy
749,les francais veulent elire un chef de l etat qui respecte ses promesses qui les respecte eux un chef de l etat qui revivifie la democratie en mettant en place la proportionnelle et le referendum d initiative citoyenne,francais veulent elire chef etat respecte promesses respecte chef etat revivifie democratie mettant place proportionnelle referendum initiative citoyenne,economy
750,la situation sanitaire s ameliore partout en europe au conseil europeen nous avons acte plusieurs decisions,situation sanitaire ameliore partout europe conseil europeen acte plusieurs decision,health
751,j ai apporte ce matin mon soutien au secteur du transport routier mis a mal par l inflation du carburant et la concurrence deloyale si rien n est fait le transport routier francais n y survivra pas,apporte matin soutien secteur transport routier mi a mal inflation carburant concurrence deloyale si rien fait transport routier francais survivra,economy
752,il est toujours simple de commencer un conflit beaucoup moins de savoir le terminer et de batir une paix durable pour etre maintenue la securite de notre continent a besoin que nous ne reproduisions pas les erreurs du passe,toujours simple commencer conflit beaucoup moins savoir terminer batir paix durable etre maintenue securite continent a besoin reproduisions erreurs passe,economy
753,non seulement refuse de debattre face aux autres candidats mais en plus ses debats avec les francais sont des echanges soigneusement prepares en avance notre democratie merite de vrais debats assez des mises en scene macronistes,non seulement refuse debattre face autres candidats plus debats francais echanges soigneusement prepares avance democratie merite vrais debats assez mi scene macronistes,education
754,mesdames c est a vous que je veux m adresser aujourd hui,madame a veux adresser aujourd hui,economy
755,des resultats considerables et des sacrifices nous n oublions pas nos soldats tombes ni nos blesses ni leurs familles,resultats considerables sacrifice oublions soldats tombes ni blesses ni leurs familles,education
756,incitez les personnes autour de vous a telecharger l application tousanticovid cela ne sera efficace pour freiner la propagation du virus que si chacun l active ios android,incitez personnes autour a telecharger application tousanticovid cela efficace freiner propagation virus si chacun active io android,health
757,je ne veux pas de cette gauche archaique qui veut deposseder les proprietaires de leurs biens je ne veux deposseder personne avec moi ce sera toujours du plus jamais du moins je veux donner a tous les francais des droits supplementaires marinepresidente,veux cette gauche archaique veut deposseder proprietaires leurs biens veux deposseder personne toujours plus jamais moins veux donner a tous francais droits supplementaires marinepresidente,
758,premiere etape de la campagne de vaccination les personnes agees qui vivent en collectivite ainsi que les professionnels de sante vulnerables passons le message a nos aieuls protegeons les en priorite,premiere etape campagne vaccination personnes agee vivent collectivite ainsi professionnels sante vulnerables passons message a aieuls protegeons priorite,health
759,on ne peut pas bien apprendre quand on a le ventre vide tous les etudiants doivent pouvoir bien se nourrir,peut bien apprendre quand a ventre vide tous etudiants doivent pouvoir bien nourrir,economy
760,il vous reste une semaine pour vous inscrire sur les listes electorales et pouvoir voter a l election presidentielle je compte sur vous inscrivez vous en mairie ou en ligne,reste semaine inscrire listes electorales pouvoir voter a election presidentielle compte inscrivez mairie ligne,economy
761,nous prendrons l initiative a l onu des septembre pour renforcer la protection des travailleurs humanitaires le respect du droit international et la lutte contre l impunite,prendrons initiative a onu septembre renforcer protection travailleurs humanitaires respect droit international lutte contre impunite,
762,proteger nos enfants et nos adolescents en ligne c est les eloigner des contenus inappropries ou dangereux de la violence la haine et la pornographie depuis mon discours a l unesco en novembre 2019 nous avons pris des mesures pour responsabiliser et sanctionner les sites,proteger enfants adolescent ligne eloigner contenus inappropries dangereux violence haine pornographie depuis discours a unesco novembre 2019 pris mesures responsabiliser sanctionner site,
763,elue presidente j economiserai 5 milliards d euros par an en baissant la contribution francaise a l union europeenne,elue presidente economiserai 5 milliard euro an baissant contribution francaise a union europeenne,economy
764,en ce soixantenaire des accords d evian je rends hommage aux morts pour la france pendant la guerre d algerie cette date ne fut pas la fin de la guerre et oublie nos compatriotes qui ont par la suite ete abandonnes spolies tues,soixantenaire accord evian rends hommage morts france pendant guerre algerie cette date fin guerre oublie compatriotes suite ete abandonnes spolies tues,economy
765,les commercants ont tant souffert de la crise sanitaire pourtant les entrepreneurs et les independants sont le poumon economique de notre pays je ferai tout pour les defendre,commercants tant souffert crise sanitaire pourtant entrepreneur independants poumon economique pay ferai tout defendre,economy
766,pour favoriser l egalite dans l acces a la fonction publique nous ouvrons 1 000 places supplementaires en classes preparatoires talents aux concours administratifs des 2021,favoriser egalite acces a fonction publique ouvrons 1 000 place supplementaires class preparatoires talent concours administratifs 2021,health
767,apres 5 ans de transformations d heures heureuses et difficiles de crises exceptionnelles aussi je veux remercier les francaises et les francais qui m ont accorde leur confiance pour presider notre republique durant les 5 annees a venir,apres 5 an transformation heures heureuses difficiles crisis exceptionnelles aussi veux remercier francaises francais accorde confiance presider republique durant 5 annees a venir,
768,je fais principalement campagne dans les villages et les petites villes la ou les francais ne voient jamais de politiques faceababa marinepresidente,fais principalement campagne village petite villes francais voient jamais politiques faceababa marinepresidente,economy
769,a tous les nouveaux bacheliers felicitations c est un moment important alors celebrez le vous le meritez cette annee encore chacun a du s adapter saluons les enseignants et les parents car si vous avez reussi c est aussi avec eux une nation au service de sa jeunesse,a tous nouveaux bacheliers felicitation moment important alors celebrez meritez cette annee encore chacun a adapter saluons enseignants parent car si reussi aussi nation service jeunesse,education
770,vous avez 50 ans ou plus prenez rendez vous des demain sur pour vous faire vacciner a partir du 10 mai parlez en a vos proches,50 an plus prenez rendez demain faire vacciner a partir 10 mai parlez a proches,education
771,ici dans le nord face a l adversite les liens de solidarite familiaux amicaux sociaux sont les plus puissants ici tambourine le coeur de cette france qui ne se resigne jamais et qui par sa force d ame surmonte toujours les epreuves des temps difficiles marinepresidente,ici nord face a adversite lien solidarite familiaux amicaux sociaux plus puissants ici tambourine coeur cette france resigne jamais force ame surmonte toujours epreuves temp difficiles marinepresidente,education
772,c est aux politiques de voir et de dire que la question migratoire sera pour nos pays la grande question du xxieme siecle ceux qui l ignorent ceux qui le nient ceux qui l encouragent ceux la sont ou aveugles ou malhonnetes ou criminels marinepresidente,politiques voir dire question migratoire pay grande question xxieme siecle ceux ignorent ceux nient ceux encouragent ceux aveugles malhonnetes criminels marinepresidente,education
773,je veux que les francais qui sont a la retraite vivent dignement ceux qui travaillent la nuit qui travaillent dans le froid qui portent des charges lourdes ne peuvent pas partir a la retraite a 64 ou 65 ans missionconvaincrelci marinepresidente,veux francais a retraite vivent dignement ceux travaillent nuit travaillent froid portent charge lourdes peuvent partir a retraite a 64 65 an missionconvaincrelci marinepresidente,health
774,tack sa mycket kara stefan merci d avoir toujours porte haut vos convictions pour le climat les droits humains et l ouverture sur le monde convictions portees par nos peuples en suede comme en france convictions qui forment le visage de notre europe notre fierte,tack mycket kara stefan merci avoir toujours porte haut conviction climat droits humains ouverture monde conviction portees peuples suede comme france conviction forment visage europe fierte,environment
775,grace a un fonds souverain appuye sur l epargne volontaire des francais nous financerons les grandes filieres d avenir productives nous voulons faire des francais les actionnaires de la maison france marinepresidente,grace a fonds souverain appuye epargne volontaire francais financerons grandes filieres avenir productives voulons faire francais actionnaires maison france marinepresidente,economy
776,je suis la seule a avoir defendu la souverainete alimentaire de notre pays et le travail de nos agriculteurs nous devons aider mieux et aider plus nos agriculteurs marinepresidente,seule a avoir defendu souverainete alimentaire pay travail agriculteurs devon aider mieux aider plus agriculteurs marinepresidente,
777,le combat pour l egalite entre les femmes et les hommes est encore loin d etre gagne ce qui est encore une bataille aujourd hui doit devenir une evidence demain soyons la generationegalite de toutes nos forces,combat egalite entre femmes hommes encore loin etre gagne encore bataille aujourd hui doit devenir evidence demain generationegalite toutes force,economy
778,c est parce que les allemands ou les belges ont fait le choix ideologique de la suppression du nucleaire qu aujourd hui l europe est ultra dependante du gaz russe bfmpolitique,parce allemands belges fait choix ideologique suppression nucleaire aujourd hui europe ultra dependante gaz russe bfmpolitique,economy
779,a marseille de nombreuses ecoles sont en etat de delabrement pour les renover ce n est pas une question d argent mais de courage l etat sera aux cotes de maya lionel maelys et des autres enfants,a marseille nombreuses ecoles etat delabrement renover question argent courage etat cote maya lionel maelys autres enfants,education
780,je veux saluer fabien engelmann monsieur le maire d hayange elu au premier tour qui est ici dans ce departement l exemple discret mais eclatant de la reussite de la gestion municipale du rassemblement national marinepresidente,veux saluer fabien engelmann monsieur maire hayange elu premier tour ici departement exemple discret eclatant reussite gestion municipale rassemblement national marinepresidente,education
781,j appelle toutes les guadeloupeennes que l on appelle ici des potomitans pour leur courage et leur place centrale dans les familles a se mobiliser et a mobiliser autour d elles pour voter et faire voter si le peuple vote le peuple gagne,appelle toutes guadeloupeennes appelle ici potomitans courage place centrale familles a mobiliser a mobiliser autour elles voter faire voter si peuple vote peuple gagne,economy
782,rt la une du journal l equipe de ce dimanche 8 aout 2021,rt journal equipe dimanche 8 aout 2021,environment
783,presidente de la republique j annulerai les hausses de taxes sur les carburants decidees par emmanuel macron en 2017 et 2018 et je baisserai la tva sur les carburants a 5 5 marinepresidente debatmacronlepen 2022ledebat,presidente republique annulerai hausses tax carburants decidees emmanuel macron 2017 2018 baisserai tva carburants a 5 5 marinepresidente debatmacronlepen 2022ledebat,economy
784,d ici a la fin de l ete nous aurons propose a tous les francais adultes qui le souhaitent un vaccin,ici a fin ete propose a tous francais adultes souhaitent vaccin,health
785,c est par la restauration du chateau de villers cotterets et donc par la preservation de notre patrimoine que nous defendrons notre langue avec ce projet de cite internationale de la langue francaise soyons fiers de notre histoire et de ce que nous sommes,restauration chateau villers cotterets donc preservation patrimoine defendrons langue projet cite internationale langue francaise fiers histoire,education
786,merci aux millions d electeurs qui m accordent leur confiance dimanche 24 avril rassemblons nous pour aller chercher la victoire,merci million electeurs accordent confiance dimanche 24 avril rassemblons aller chercher victoire,education
787,un controle plus strict et plus transparent de l action de nos forces de l ordre plutot qu une defiance generalisee et un soupcon permanent,controle plus strict plus transparent action force ordre plutot defiance generalisee soupcon permanent,economy
788,je souhaite supprimer pour l immense majorite de nos compatriotes ces impots injustes que sont les droits de succession marinepresidente,souhaite supprimer immense majorite compatriotes impots injustes droits succession marinepresidente,education
789,donc si votre voisin trouve un emploi ca va reduire le prix de votre plein d essence et votre facture de chauffage il fallait oser quand meme,donc si voisin trouve emploi ca va reduire prix plein essence facture chauffage fallait oser quand meme,economy
790,le 10 juin 1944 quatre jours apres le debarquement de normandie presque tous les habitants d oradour sur glane perdent la vie 643 personnes sont brulees pendues massacrees a jamais nous nous souviendrons a jamais dans leur souvenir nous puiserons force et sens,10 juin 1944 quatre jours apres debarquement normandie presque tous habitant oradour glane perdent vie 643 personnes brulees pendues massacrees a jamais souviendrons a jamais souvenir puiserons force sen,
791,la france est plebiscitee par les investisseurs etrangers choosefrance,france plebiscitee investisseurs etrangers choosefrance,economy
792,il y a cinq ans notre fete nationale s est transformee en drame national nice a ete attaquee la france endeuillee nous n oublierons jamais les victimes et les familles nous n oublions jamais ce que nous sommes une nation,a cinq an fete nationale transformee drame national nice a ete attaquee france endeuillee oublierons jamais victimes familles oublions jamais nation,education
793,depuis les annees 80 les programmes scolaires sont massacres par le pedagogique je les reprendrai en main pour tendre vers l excellence,depuis annees 80 programme scolaires massacre pedagogique reprendrai main tendre vers excellence,economy
794,emmanuel macron a donne des avantages a ceux qui n en ont pas besoin en nous expliquant que tout cela allait ruisseler au contraire je mets en place des mesures pour rendre 150 a 200 euros par mois aux menages francais legrandoral marinepresidente,emmanuel macron a donne avantages a ceux besoin expliquant tout cela allait ruisseler contraire mets place mesures rendre 150 a 200 euro mois menage francais legrandoral marinepresidente,health
795,aux corses je veux dire merci vous avez fait du med7 un succes les delegations ont pu le voir l ile de beaute porte bien son nom je suis venu aussi faire le point sur les engagements et soutenir l economie dans la crise que nous traversons comptez sur mon engagement,corse veux dire merci fait med7 succes delegation pu voir ile beaute porte bien nom venu aussi faire point engagement soutenir economie crise traversons comptez engagement,economy
796,a competence egale je veux donner une priorite aux travailleurs francais par rapport aux travailleurs etrangers et il est normal que les francais aient acces prioritairement au logement social elysee2022,a competence egale veux donner priorite travailleurs francais rapport travailleurs etrangers normal francais acces prioritairement logement social elysee2022,
797,la france croit au spatial 500 millions d euros du plan france relance seront consacres a l acceleration du developpement de propulsions a hydrogene et projets spatiaux,france croit spatial 500 million euro plan france relance consacres a acceleration developpement propulsion a hydrogene projets spatiaux,economy
798,au tour de france cette annee il n y a pas que les cyclistes qui jouent la montre les pompiers du vaccinobus vaccinent vaccinent et vaccinent merci a tous les benevoles mobilises cette course la on ne pourra la gagner qu en etant tous ensemble,tour france cette annee a cyclistes jouent montre pompiers vaccinobus vaccinent vaccinent vaccinent merci a tous benevoles mobilises cette course pourra gagner etant tous ensemble,environment
